"ResponseId","name","warm","study","competent"
"R_WAmmyyrJLlLMtEZ","matthew","51","bertrand","40"
"R_WAmmyyrJLlLMtEZ","neil","19","bertrand","55"
"R_WAmmyyrJLlLMtEZ","todd","61","bertrand","8"
"R_WAmmyyrJLlLMtEZ","aisha","61","bertrand","57"
"R_WAmmyyrJLlLMtEZ","ebony","71","bertrand","53"
"R_WAmmyyrJLlLMtEZ","keisha","42","bertrand","24"
"R_WAmmyyrJLlLMtEZ","kenya","40","bertrand","68"
"R_WAmmyyrJLlLMtEZ","lakisha","61","bertrand","69"
"R_WAmmyyrJLlLMtEZ","latonya","51","bertrand","54"
"R_WAmmyyrJLlLMtEZ","latoya","44","bertrand","50"
"R_WAmmyyrJLlLMtEZ","tamika","71","bertrand","58"
"R_WAmmyyrJLlLMtEZ","tanisha","84","bertrand","57"
"R_WAmmyyrJLlLMtEZ","darnell","47","bertrand","51"
"R_WAmmyyrJLlLMtEZ","hakim","55","bertrand","62"
"R_WAmmyyrJLlLMtEZ","jamal","40","bertrand","50"
"R_WAmmyyrJLlLMtEZ","jermaine","31","bertrand","53"
"R_WAmmyyrJLlLMtEZ","kareem","48","bertrand","57"
"R_WAmmyyrJLlLMtEZ","leroy","31","bertrand","64"
"R_WAmmyyrJLlLMtEZ","rasheed","61","bertrand","61"
"R_WAmmyyrJLlLMtEZ","tremayne","50","bertrand","70"
"R_WAmmyyrJLlLMtEZ","tyrone","52","bertrand","80"
"R_1In0NyPW8JzSJox","allison","82","bertrand","83"
"R_1In0NyPW8JzSJox","anne","90","bertrand","89"
"R_1In0NyPW8JzSJox","carrie","70","bertrand","79"
"R_1In0NyPW8JzSJox","emily","83","bertrand","86"
"R_1In0NyPW8JzSJox","jill","81","bertrand","100"
"R_1In0NyPW8JzSJox","laurie","80","bertrand","82"
"R_1In0NyPW8JzSJox","kristen","79","bertrand","84"
"R_1In0NyPW8JzSJox","meredith","86","bertrand","86"
"R_1In0NyPW8JzSJox","sarah","82","bertrand","82"
"R_1In0NyPW8JzSJox","brad","81","bertrand","100"
"R_1In0NyPW8JzSJox","brendan","81","bertrand","79"
"R_1In0NyPW8JzSJox","geoffrey","50","bertrand","98"
"R_1In0NyPW8JzSJox","greg","75","bertrand","90"
"R_1In0NyPW8JzSJox","brett","68","bertrand","90"
"R_1In0NyPW8JzSJox","jay","83","bertrand","59"
"R_1In0NyPW8JzSJox","matthew","81","bertrand","82"
"R_1In0NyPW8JzSJox","neil","51","bertrand","86"
"R_1In0NyPW8JzSJox","todd","61","bertrand","100"
"R_1In0NyPW8JzSJox","aisha","51","bertrand","56"
"R_1In0NyPW8JzSJox","ebony","40","bertrand","49"
"R_1In0NyPW8JzSJox","keisha","53","bertrand","40"
"R_1In0NyPW8JzSJox","kenya","51","bertrand","80"
"R_1In0NyPW8JzSJox","lakisha","50","bertrand","40"
"R_1In0NyPW8JzSJox","latonya","49","bertrand","45"
"R_1In0NyPW8JzSJox","latoya","50","bertrand","52"
"R_1In0NyPW8JzSJox","tamika","52","bertrand","70"
"R_1In0NyPW8JzSJox","tanisha","44","bertrand","60"
"R_1In0NyPW8JzSJox","darnell","51","bertrand","60"
"R_1In0NyPW8JzSJox","hakim","50","bertrand","100"
"R_1In0NyPW8JzSJox","jamal","54","bertrand","92"
"R_1In0NyPW8JzSJox","jermaine","50","bertrand","46"
"R_1In0NyPW8JzSJox","kareem","51","bertrand","100"
